ntw	slice	metrics	min	max	mean	p25	p50	p75
"US02"	"us02_19092014.xlsx"	"In-Degree"	0	294	4.3207354	0	1	2
"US02"	"us02_19092014.xlsx"	"Out-Degree"	0	176	4.3207354	0	1	2
"US02"	"us02_19092014.xlsx"	"Closeness"	0	0	0	0	0	0
"US02"	"us02_19092014.xlsx"	"Betweenness"	0	118942.84	896.1922	0	0	0
"US02"	"us02_19092014.xlsx"	"Eigenvalue"	0	.19221028	.02050575	.00526984	.01198403	.02975703
"US02"	"us02_12092014.xlsx"	"In-Degree"	0	295	4.3870314	0	1	2
"US02"	"us02_12092014.xlsx"	"Out-Degree"	0	176	4.3870314	0	1	2
"US02"	"us02_12092014.xlsx"	"Closeness"	0	0	0	0	0	0
"US02"	"us02_12092014.xlsx"	"Betweenness"	0	116702.05	931.98436	0	0	0
"US02"	"us02_12092014.xlsx"	"Eigenvalue"	0	.18385367	.02043404	.00522704	.01220628	.02916177
"US02"	"us02_05092014.xlsx"	"In-Degree"	0	298	4.3832154	0	1	2
"US02"	"us02_05092014.xlsx"	"Out-Degree"	0	175	4.3832154	0	1	2
"US02"	"us02_05092014.xlsx"	"Closeness"	0	0	0	0	0	0
"US02"	"us02_05092014.xlsx"	"Betweenness"	0	115342.66	930.33373	0	0	0
"US02"	"us02_05092014.xlsx"	"Eigenvalue"	-.19051862	0	-.02034818	-.0292089	-.01151308	-.00487712
"US01"	"us01_1.xlsx"	"In-Degree"	0	3526	33.695911	5	13	28
"US01"	"us01_1.xlsx"	"Out-Degree"	0	3854	33.695911	5	13	28
"US01"	"us01_1.xlsx"	"Closeness"	0	0	0	0	0	0
"US01"	"us01_1.xlsx"	"Betweenness"	0	6061413.3	11183.092	.36744875	17.468982	181.54711
"US01"	"us01_1.xlsx"	"Eigenvalue"	-.18033685	0	-.00701127	-.00855948	-.0044047	-.00123779
"UK01"	"uk01_201009.xlsx"	"In-Degree"	0	110	5.3913043	1	1	4
"UK01"	"uk01_201009.xlsx"	"Out-Degree"	0	143	5.3913043	1	1	4
"UK01"	"uk01_201009.xlsx"	"Closeness"	0	0	0	0	0	0
"UK01"	"uk01_201009.xlsx"	"Betweenness"	0	17423.632	277.90079	0	0	0
"UK01"	"uk01_201009.xlsx"	"Eigenvalue"	0	.26692159	.02712781	0	.00899627	.02726998
"UK01"	"uk01_201008.xlsx"	"In-Degree"	0	110	5.6072508	1	2	4
"UK01"	"uk01_201008.xlsx"	"Out-Degree"	0	145	5.6072508	1	2	4
"UK01"	"uk01_201008.xlsx"	"Closeness"	0	0	0	0	0	0
"UK01"	"uk01_201008.xlsx"	"Betweenness"	0	16878.188	272.85779	0	0	0
"UK01"	"uk01_201008.xlsx"	"Eigenvalue"	0	.26576298	.02785813	0	.00906817	.0275308
"UK01"	"uk01_201007.xlsx"	"In-Degree"	0	115	5.5825826	1	2	4
"UK01"	"uk01_201007.xlsx"	"Out-Degree"	0	144	5.5825826	1	2	4
"UK01"	"uk01_201007.xlsx"	"Closeness"	0	0	0	0	0	0
"UK01"	"uk01_201007.xlsx"	"Betweenness"	0	18133.693	279.75772	0	0	0
"UK01"	"uk01_201007.xlsx"	"Eigenvalue"	0	.26524066	.02794786	0	.00901789	.02748663
"UK01"	"uk01_201006.xlsx"	"In-Degree"	0	112	5.5119048	1	2	4
"UK01"	"uk01_201006.xlsx"	"Out-Degree"	0	146	5.5119048	1	2	4
"UK01"	"uk01_201006.xlsx"	"Closeness"	0	0	0	0	0	0
"UK01"	"uk01_201006.xlsx"	"Betweenness"	0	18122.216	275.29219	0	0	0
"UK01"	"uk01_201006.xlsx"	"Eigenvalue"	0	.26669222	.02727803	0	.00896129	.02730353
"NL01"	"t39.xlsx"	"In-Degree"	0	56	2.5283019	0	1	3
"NL01"	"t39.xlsx"	"Out-Degree"	0	41	2.5283019	0	1	3
"NL01"	"t39.xlsx"	"Closeness"	0	0	0	0	0	0
"NL01"	"t39.xlsx"	"Betweenness"	0	4128.1751	107.90645	0	0	3.3054113
"NL01"	"t39.xlsx"	"Eigenvalue"	0	.40554873	.04395935	0	.02466497	.05180132
"NL01"	"t38.xlsx"	"In-Degree"	0	76	3.6226415	0	1	4
"NL01"	"t38.xlsx"	"Out-Degree"	0	56	3.6226415	0	1	4
"NL01"	"t38.xlsx"	"Closeness"	0	0	0	0	0	0
"NL01"	"t38.xlsx"	"Betweenness"	0	6358.1623	151.08917	0	0	7.6852555
"NL01"	"t38.xlsx"	"Eigenvalue"	-.40904188	0	-.04927975	-.06329593	-.0285976	-.00754793
"NL01"	"t37.xlsx"	"In-Degree"	0	65	3.5220126	0	1	3
"NL01"	"t37.xlsx"	"Out-Degree"	0	61	3.5220126	0	1	3
"NL01"	"t37.xlsx"	"Closeness"	0	0	0	0	0	0
"NL01"	"t37.xlsx"	"Betweenness"	0	6697.6462	155.4574	0	0	4.6624951
"NL01"	"t37.xlsx"	"Eigenvalue"	0	.37924989	.04801995	.00389455	.02276758	.06568152
"NL01"	"t36.xlsx"	"In-Degree"	0	65	3.5471698	0	1	4
"NL01"	"t36.xlsx"	"Out-Degree"	0	65	3.5471698	0	1	4
"NL01"	"t36.xlsx"	"Closeness"	0	0	0	0	0	0
"NL01"	"t36.xlsx"	"Betweenness"	0	7913.1597	165.55164	0	0	4.3786213
"NL01"	"t36.xlsx"	"Eigenvalue"	-.38585013	0	-.04871925	-.06392207	-.02825951	-.00728717
"NL01"	"t35.xlsx"	"In-Degree"	0	65	3.836478	0	1	4
"NL01"	"t35.xlsx"	"Out-Degree"	0	70	3.836478	0	1	4
"NL01"	"t35.xlsx"	"Closeness"	0	0	0	0	0	0
"NL01"	"t35.xlsx"	"Betweenness"	0	9922.1853	185.95832	0	0	9.0518551
"NL01"	"t35.xlsx"	"Eigenvalue"	-.412742	0	-.04909803	-.06575777	-.0259251	-.01076444
"NL01"	"t34.xlsx"	"In-Degree"	0	58	3.5157233	0	1	3.75
"NL01"	"t34.xlsx"	"Out-Degree"	0	65	3.5157233	0	1	3.75
"NL01"	"t34.xlsx"	"Closeness"	0	0	0	0	0	0
"NL01"	"t34.xlsx"	"Betweenness"	0	8938.7755	173.33587	0	0	15.221325
"NL01"	"t34.xlsx"	"Eigenvalue"	-.41802065	0	-.04835446	-.06885815	-.0288537	-.00195226
"NL01"	"t33.xlsx"	"In-Degree"	0	61	3.5786164	0	1	4
"NL01"	"t33.xlsx"	"Out-Degree"	0	68	3.5786164	0	1	4
"NL01"	"t33.xlsx"	"Closeness"	0	0	0	0	0	0
"NL01"	"t33.xlsx"	"Betweenness"	0	7699.5811	157.67527	0	0	8.0294607
"NL01"	"t33.xlsx"	"Eigenvalue"	0	.43418416	.04760327	0	.02017085	.06814636
"NL01"	"t32.xlsx"	"In-Degree"	0	63	3.591195	.25	1	4
"NL01"	"t32.xlsx"	"Out-Degree"	0	75	3.591195	.25	1	4
"NL01"	"t32.xlsx"	"Closeness"	0	0	0	0	0	0
"NL01"	"t32.xlsx"	"Betweenness"	0	10717.901	192.0874	0	0	11.975592
"NL01"	"t32.xlsx"	"Eigenvalue"	-.44775033	0	-.04696132	-.0657335	-.02369486	0
"NL01"	"t31.xlsx"	"In-Degree"	0	48	3.2641509	1	1	3
"NL01"	"t31.xlsx"	"Out-Degree"	0	70	3.2641509	1	1	3
"NL01"	"t31.xlsx"	"Closeness"	0	0	0	0	0	0
"NL01"	"t31.xlsx"	"Betweenness"	0	9155.0226	170.27386	0	0	8.3310998
"NL01"	"t31.xlsx"	"Eigenvalue"	0	.4628511	.04449185	0	.0208195	.06249036
"NL01"	"t30.xlsx"	"In-Degree"	0	54	3.3396226	0	1	3
"NL01"	"t30.xlsx"	"Out-Degree"	0	67	3.3396226	0	1	3
"NL01"	"t30.xlsx"	"Closeness"	0	0	0	0	0	0
"NL01"	"t30.xlsx"	"Betweenness"	0	6992.3037	143.00006	0	0	8.7643941
"NL01"	"t30.xlsx"	"Eigenvalue"	0	.41535384	.04567726	0	.02112173	.05961694
"MX09"	"mx09_140630.xlsx"	"In-Degree"	0	18	7.0232558	0	0	16
"MX09"	"mx09_140630.xlsx"	"Out-Degree"	0	21	7.0232558	0	0	16
"MX09"	"mx09_140630.xlsx"	"Closeness"	0	0	0	0	0	0
"MX09"	"mx09_140630.xlsx"	"Betweenness"	0	6.5058913	.35983442	0	0	0
"MX09"	"mx09_140630.xlsx"	"Eigenvalue"	-.27409888	0	-.09790145	-.2428019	0	0
"MX09"	"mx09_130628.xlsx"	"In-Degree"	0	34	16.348837	7	16	26
"MX09"	"mx09_130628.xlsx"	"Out-Degree"	0	39	16.348837	7	16	26
"MX09"	"mx09_130628.xlsx"	"Closeness"	0	0	0	0	0	0
"MX09"	"mx09_130628.xlsx"	"Betweenness"	0	149.02962	10.31274	0	.37435897	7.3652396
"MX09"	"mx09_130628.xlsx"	"Eigenvalue"	0	.23664949	.12920237	.05631313	.13904936	.20410852
"MX09"	"mx09_081031.xlsx"	"In-Degree"	0	26	9.8837209	2.25	9	18
"MX09"	"mx09_081031.xlsx"	"Out-Degree"	0	34	9.8837209	2.25	9	18
"MX09"	"mx09_081031.xlsx"	"Closeness"	0	0	0	0	0	0
"MX09"	"mx09_081031.xlsx"	"Betweenness"	0	173.19012	14.55131	0	0	9.297114
"MX09"	"mx09_081031.xlsx"	"Eigenvalue"	-.27355451	0	-.11219831	-.20724402	-.13101706	0
"MX08"	"mx08_140630.xlsx"	"In-Degree"	0	16	3.4651163	0	0	7.75
"MX08"	"mx08_140630.xlsx"	"Out-Degree"	0	17	3.4651163	0	0	7.75
"MX08"	"mx08_140630.xlsx"	"Closeness"	0	0	0	0	0	0
"MX08"	"mx08_140630.xlsx"	"Betweenness"	0	68.606349	5.7535068	0	0	1.2065476
"MX08"	"mx08_140630.xlsx"	"Eigenvalue"	-.36877606	0	-.08888207	-.15867011	0	0
"MX08"	"mx08_130628.xlsx"	"In-Degree"	0	17	6.1395349	2	5	8.75
"MX08"	"mx08_130628.xlsx"	"Out-Degree"	0	24	6.1395349	2	5	8.75
"MX08"	"mx08_130628.xlsx"	"Closeness"	0	0	0	0	0	0
"MX08"	"mx08_130628.xlsx"	"Betweenness"	0	271.4488	36.202754	0	6.8397759	52.736527
"MX08"	"mx08_130628.xlsx"	"Eigenvalue"	0	.3256162	.11010203	.01937279	.08126791	.17588199
"MX08"	"mx08_081031.xlsx"	"In-Degree"	0	19	6.4186047	1	4	11
"MX08"	"mx08_081031.xlsx"	"Out-Degree"	0	22	6.4186047	1	4	11
"MX08"	"mx08_081031.xlsx"	"Closeness"	0	0	0	0	0	0
"MX08"	"mx08_081031.xlsx"	"Betweenness"	0	215.65303	27.876574	0	4.6088106	26.961521
"MX08"	"mx08_081031.xlsx"	"Eigenvalue"	-.32709272	0	-.11275542	-.19381843	-.09654559	-.01626116
"MX07"	"mx07_140630.xlsx"	"In-Degree"	0	40	18.604651	10	19	28
"MX07"	"mx07_140630.xlsx"	"Out-Degree"	0	41	18.604651	10	19	28
"MX07"	"mx07_140630.xlsx"	"Closeness"	0	0	0	0	0	0
"MX07"	"mx07_140630.xlsx"	"Betweenness"	0	155.89328	16.935566	0	.41694139	9.8607191
"MX07"	"mx07_140630.xlsx"	"Eigenvalue"	0	.24294676	.13554049	.06973335	.14577976	.19711787
"MX07"	"mx07_130628.xlsx"	"In-Degree"	0	40	18.837209	9	19	29.5
"MX07"	"mx07_130628.xlsx"	"Out-Degree"	0	39	18.837209	9	19	29.5
"MX07"	"mx07_130628.xlsx"	"Closeness"	0	0	0	0	0	0
"MX07"	"mx07_130628.xlsx"	"Betweenness"	0	127.83979	10.361121	.01315789	1.0057572	9.861684
"MX07"	"mx07_130628.xlsx"	"Eigenvalue"	-.2334408	0	-.13751982	-.19677433	-.14835836	-.08473662
"MX07"	"mx07_081031.xlsx"	"In-Degree"	0	38	13.790698	4.25	12	22.5
"MX07"	"mx07_081031.xlsx"	"Out-Degree"	0	35	13.790698	4.25	12	22.5
"MX07"	"mx07_081031.xlsx"	"Closeness"	0	0	0	0	0	0
"MX07"	"mx07_081031.xlsx"	"Betweenness"	0	277.62186	18.210387	0	.34090909	12.624019
"MX07"	"mx07_081031.xlsx"	"Eigenvalue"	0	.26502835	.13089801	.07426244	.11904907	.1918158
"MX06"	"mx06_140630.xlsx"	"In-Degree"	0	17	1.2093023	0	0	1
"MX06"	"mx06_140630.xlsx"	"Out-Degree"	0	4	1.2093023	0	0	1
"MX06"	"mx06_140630.xlsx"	"Closeness"	0	0	0	0	0	0
"MX06"	"mx06_140630.xlsx"	"Betweenness"	0	83	5.4108527	0	0	0
"MX06"	"mx06_140630.xlsx"	"Eigenvalue"	0	.421185	.11197877	0	.08839456	.15438017
"MX06"	"mx06_130628.xlsx"	"In-Degree"	0	12	1.3023256	0	0	2
"MX06"	"mx06_130628.xlsx"	"Out-Degree"	0	5	1.3023256	0	0	2
"MX06"	"mx06_130628.xlsx"	"Closeness"	0	0	0	0	0	0
"MX06"	"mx06_130628.xlsx"	"Betweenness"	0	208	13.139535	0	0	13.75
"MX06"	"mx06_130628.xlsx"	"Eigenvalue"	-.3826254	0	-.10476835	-.19015194	-.09623673	0
"MX06"	"mx06_081031.xlsx"	"In-Degree"	0	12	1.2093023	0	0	1
"MX06"	"mx06_081031.xlsx"	"Out-Degree"	0	4	1.2093023	0	0	1
"MX06"	"mx06_081031.xlsx"	"Closeness"	0	0	0	0	0	0
"MX06"	"mx06_081031.xlsx"	"Betweenness"	0	84.5	5.5813953	0	0	0
"MX06"	"mx06_081031.xlsx"	"Eigenvalue"	-.29172035	0	-.10336444	-.18029309	-.11142726	0
"MX05"	"mx05_140630.xlsx"	"In-Degree"	0	10	1.627907	0	0	2
"MX05"	"mx05_140630.xlsx"	"Out-Degree"	0	8	1.627907	0	0	2
"MX05"	"mx05_140630.xlsx"	"Closeness"	0	0	0	0	0	0
"MX05"	"mx05_140630.xlsx"	"Betweenness"	0	133.25	15.003876	0	0	9.9583333
"MX05"	"mx05_140630.xlsx"	"Eigenvalue"	0	.49645242	.10075361	0	.07307777	.17430436
"MX05"	"mx05_130628.xlsx"	"In-Degree"	0	15	4.2093023	1	3	6
"MX05"	"mx05_130628.xlsx"	"Out-Degree"	0	15	4.2093023	1	3	6
"MX05"	"mx05_130628.xlsx"	"Closeness"	0	0	0	0	0	0
"MX05"	"mx05_130628.xlsx"	"Betweenness"	0	280.25505	33.833092	0	3.5538462	44.091561
"MX05"	"mx05_130628.xlsx"	"Eigenvalue"	-.3673244	0	-.10499437	-.18617693	-.06078047	0
"MX05"	"mx05_081031.xlsx"	"In-Degree"	0	15	3.5813953	0	1	7
"MX05"	"mx05_081031.xlsx"	"Out-Degree"	0	16	3.5813953	0	1	7
"MX05"	"mx05_081031.xlsx"	"Closeness"	0	0	0	0	0	0
"MX05"	"mx05_081031.xlsx"	"Betweenness"	0	107.25	9.3534175	0	0	4.3794643
"MX05"	"mx05_081031.xlsx"	"Eigenvalue"	-.35622054	0	-.09568156	-.1827169	-.02464645	0
"MX04"	"mx04_140630.xlsx"	"In-Degree"	0	15	2.3023256	0	0	4
"MX04"	"mx04_140630.xlsx"	"Out-Degree"	0	13	2.3023256	0	0	4
"MX04"	"mx04_140630.xlsx"	"Closeness"	0	0	0	0	0	0
"MX04"	"mx04_140630.xlsx"	"Betweenness"	0	19.666667	2.3100775	0	0	0
"MX04"	"mx04_140630.xlsx"	"Eigenvalue"	0	.57735027	.04028025	0	5.915e-26	5.761e-10
"MX04"	"mx04_130628.xlsx"	"In-Degree"	0	15	2.5348837	0	0	4.75
"MX04"	"mx04_130628.xlsx"	"Out-Degree"	0	15	2.5348837	0	0	4.75
"MX04"	"mx04_130628.xlsx"	"Closeness"	0	0	0	0	0	0
"MX04"	"mx04_130628.xlsx"	"Betweenness"	0	158	13.604651	0	0	0
"MX04"	"mx04_130628.xlsx"	"Eigenvalue"	0	.55051066	.08297624	0	.01418683	.12842458
"MX04"	"mx04_081031.xlsx"	"In-Degree"	0	6	1.0697674	0	0	2
"MX04"	"mx04_081031.xlsx"	"Out-Degree"	0	8	1.0697674	0	0	2
"MX04"	"mx04_081031.xlsx"	"Closeness"	0	0	0	0	0	0
"MX04"	"mx04_081031.xlsx"	"Betweenness"	0	24.5	1.8255814	0	0	0
"MX04"	"mx04_081031.xlsx"	"Eigenvalue"	-.50014474	5.447e-17	-.06881837	-.07293777	0	0
"MX03"	"mx03_140630.xlsx"	"In-Degree"	0	19	3	0	1	5
"MX03"	"mx03_140630.xlsx"	"Out-Degree"	0	11	3	0	1	5
"MX03"	"mx03_140630.xlsx"	"Closeness"	0	0	0	0	0	0
"MX03"	"mx03_140630.xlsx"	"Betweenness"	0	204.56429	23.580574	0	.66666667	20.441991
"MX03"	"mx03_140630.xlsx"	"Eigenvalue"	0	.45495247	.09052926	.00059917	.02883722	.12209337
"MX03"	"mx03_130628.xlsx"	"In-Degree"	0	14	3.1395349	0	3	5
"MX03"	"mx03_130628.xlsx"	"Out-Degree"	0	12	3.1395349	0	3	5
"MX03"	"mx03_130628.xlsx"	"Closeness"	0	0	0	0	0	0
"MX03"	"mx03_130628.xlsx"	"Betweenness"	0	227.45714	29.265288	0	3.5	37.562446
"MX03"	"mx03_130628.xlsx"	"Eigenvalue"	0	.44346216	.09416556	0	.03610126	.14598658
"MX03"	"mx03_081031.xlsx"	"In-Degree"	0	15	2.744186	0	1	5.75
"MX03"	"mx03_081031.xlsx"	"Out-Degree"	0	9	2.744186	0	1	5.75
"MX03"	"mx03_081031.xlsx"	"Closeness"	0	0	0	0	0	0
"MX03"	"mx03_081031.xlsx"	"Betweenness"	0	136.8848	20.023847	0	0	35.106456
"MX03"	"mx03_081031.xlsx"	"Eigenvalue"	0	.39810895	.08977619	0	.03057908	.13815598
"MX02"	"mx02_140630.xlsx"	"In-Degree"	0	12	1.7209302	0	0	2
"MX02"	"mx02_140630.xlsx"	"Out-Degree"	0	8	1.7209302	0	0	2
"MX02"	"mx02_140630.xlsx"	"Closeness"	0	0	0	0	0	0
"MX02"	"mx02_140630.xlsx"	"Betweenness"	0	126.9	14.305426	0	0	9.525
"MX02"	"mx02_140630.xlsx"	"Eigenvalue"	-.46913419	0	-.10075772	-.17285481	-.08792146	0
"MX02"	"mx02_130628.xlsx"	"In-Degree"	0	18	1.4883721	0	0	2
"MX02"	"mx02_130628.xlsx"	"Out-Degree"	0	5	1.4883721	0	0	2
"MX02"	"mx02_130628.xlsx"	"Closeness"	0	0	0	0	0	0
"MX02"	"mx02_130628.xlsx"	"Betweenness"	0	158	13.709302	0	0	1.5
"MX02"	"mx02_130628.xlsx"	"Eigenvalue"	0	.52881227	.08854163	0	.03340712	.15917442
"MX02"	"mx02_081031.xlsx"	"In-Degree"	0	6	1.1395349	0	0	2
"MX02"	"mx02_081031.xlsx"	"Out-Degree"	0	8	1.1395349	0	0	2
"MX02"	"mx02_081031.xlsx"	"Closeness"	0	0	0	0	0	0
"MX02"	"mx02_081031.xlsx"	"Betweenness"	0	60.666667	3.6317829	0	0	0
"MX02"	"mx02_081031.xlsx"	"Eigenvalue"	-.62842017	0	-.0642368	0	0	0
"MX01"	"mx01_140630.xlsx"	"In-Degree"	0	29	9.7674419	2.25	10	14.75
"MX01"	"mx01_140630.xlsx"	"Out-Degree"	0	22	9.7674419	2.25	10	14.75
"MX01"	"mx01_140630.xlsx"	"Closeness"	0	0	0	0	0	0
"MX01"	"mx01_140630.xlsx"	"Betweenness"	0	238.84552	24.993353	.02777778	6.7356042	27.260326
"MX01"	"mx01_140630.xlsx"	"Eigenvalue"	-.2769342	0	-.12937387	-.19897576	-.13250454	-.05604482
"MX01"	"mx01_130628.xlsx"	"In-Degree"	0	28	10.139535	4	10	14.75
"MX01"	"mx01_130628.xlsx"	"Out-Degree"	0	24	10.139535	4	10	14.75
"MX01"	"mx01_130628.xlsx"	"Closeness"	0	0	0	0	0	0
"MX01"	"mx01_130628.xlsx"	"Betweenness"	0	184.83946	22.619179	.49642857	7.4607504	26.623277
"MX01"	"mx01_130628.xlsx"	"Eigenvalue"	-.29561154	0	-.12876747	-.1882056	-.13531893	-.07152809
"MX01"	"mx01_081031.xlsx"	"In-Degree"	0	26	8.5813953	1	8	13
"MX01"	"mx01_081031.xlsx"	"Out-Degree"	0	23	8.5813953	1	8	13
"MX01"	"mx01_081031.xlsx"	"Closeness"	0	0	0	0	0	0
"MX01"	"mx01_081031.xlsx"	"Betweenness"	0	155.35012	25.433857	0	2.747619	33.844913
"MX01"	"mx01_081031.xlsx"	"Eigenvalue"	0	.30506987	.1226968	.02412183	.12691115	.20290821
"KR01"	"kr01.xlsx"	"In-Degree"	9	17	14.611111	14	15	16
"KR01"	"kr01.xlsx"	"Out-Degree"	5	17	14.611111	14	15	16
"KR01"	"kr01.xlsx"	"Closeness"	.18966965	.91485115	.63745768	.56556552	.68040431	.76392576
"KR01"	"kr01.xlsx"	"Betweenness"	0	4.4122988	.49344421	0	.05555556	.36363636
"KR01"	"kr01.xlsx"	"Eigenvalue"	-.26220692	-.08024456	-.23179771	-.25716404	-.245639	-.21949117
"IT01"	"it01_122013.xlsx"	"In-Degree"	0	349	5.5955882	1	1	2
"IT01"	"it01_122013.xlsx"	"Out-Degree"	0	308	5.5955882	1	1	2
"IT01"	"it01_122013.xlsx"	"Closeness"	0	0	0	0	0	0
"IT01"	"it01_122013.xlsx"	"Betweenness"	0	272984.47	1104.8008	0	0	28.095506
"IT01"	"it01_122013.xlsx"	"Eigenvalue"	0	.51056535	.03166579	.02161859	.03039479	.03675422
"IT01"	"it01_092014.xlsx"	"In-Degree"	0	341	6.0150943	1	1	3
